,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,popularity,clusters,id,artist,song_title
2906,0.561,0.71,-8.128,0.0371,0.277,0.815,0.0988,0.295,171.932,184186,0,25,7,0bODLsFn7XzWC6rv5TMmL9,['The Outsiders'],Spinning
2907,0.428,0.922,-3.819,0.0726,0.0182,0.00226,0.0887,0.277,174.025,263751,0,21,9,0YnsklW4Ay9e4OPoDaNEdu,['T & Sugah'],French Fries
2908,0.413,0.929,-3.437,0.0418,0.000145,0.439,0.345,0.17,175.023,262069,0,21,7,1b9jaNoyPhtZoVRZ2UFDwy,"['T & Sugah', 'Quoone']",Leaving
2909,0.45,0.905,-3.429,0.0454,0.00985,5.42e-05,0.337,0.139,171.981,256744,0,26,9,5uOT1jq18KFUQouP32JyYr,"['Artino', 'James Chandler']",Can't Let Go
2910,0.432,0.932,-2.477,0.0585,1.49e-05,0.381,0.0781,0.0884,178.103,238560,0,29,7,7mwcFa4oWwkAXqqa5WwdZh,['Boxplot'],I Think I Think Too Much
2911,0.431,0.98,-2.534,0.11,3.62e-05,0.899,0.306,0.143,174.004,264750,0,29,7,1Ja03UxKrv5tkEcsqdkm7R,"['Boxplot', 'Amaryllis']",Speaking In Tongues
2912,0.526,0.861,-1.862,0.075,0.00279,0.0875,0.108,0.148,175.042,268800,0,27,9,3hUY1xCqs110TaDivkQGGR,"['Dossa & Locuzzed', 'Patch Edison']",Play
2913,0.683,0.548,-5.348,0.259,0.127,0.673,0.105,0.0381,174.041,289560,0,24,7,6wuR1QjCLePeOrNtbMS8Jb,['Boxplot'],Why Try
2914,0.638,0.963,-1.767,0.0749,0.0011,0.89,0.082,0.389,173.977,294414,0,27,7,0xMYBXS7DK3jfgOKOjHUtJ,['SiLi'],FONK
2915,0.533,0.69,-4.506,0.0505,0.000637,0.891,0.104,0.221,174.014,248520,0,20,7,7oo3L2zSue3k0iXMpuW5mV,['Effected Life'],Be Together
2916,0.39,0.977,-1.813,0.312,9.17e-05,0.62,0.153,0.0765,174.055,289600,0,26,7,5KIiDon7zaZXcG0Mtck9Np,['Boxplot'],Leaving
2917,0.368,0.923,-2.695,0.0442,0.000184,0.351,0.2,0.0478,174.05,353103,0,26,7,3SdPhsJdc3b9VlFLms02AO,['Boxplot'],Welcome Home
2918,0.473,0.841,-5.333,0.041,0.000631,0.832,0.2,0.0386,174.024,290184,0,21,7,1sOaErJwzPOmFJpADsASlm,"['Sub:liminal', 'SOLR']",Night Trails
2919,0.577,0.686,-6.071,0.0639,0.00712,0.758,0.108,0.199,173.959,248555,0,19,7,6D51CkBa7HvOIuDarVcK09,['Surreal'],Know Me Better
2920,0.574,0.979,-2.314,0.0678,0.00052,0.895,0.0493,0.123,172.031,339086,0,22,7,4jp512gnBEb3aFzBDYlsib,['SiLi'],JEBAITED
2921,0.465,0.949,-3.587,0.0437,0.000454,0.143,0.11,0.407,173.991,229558,0,24,9,2VfLXRaHq1CDtzaJxZ25Dn,"['T & Sugah', 'Mara Necia']",Release
2922,0.609,0.532,-6.163,0.0551,0.00596,0.705,0.773,0.25,175.035,257829,0,18,5,1D55sHnqrN8XyRhzezI65u,['Humanature'],I Know You Know
