,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,explicit,popularity,clusters,id,artist,song_title
3233,0.371,0.191,-17.121,0.0461,0.984,0.914,0.18,0.396,134.526,0,3,6,3bUEMm9thjwVLXvR3sh7Gi,"['Hiraeth', 'LaMeduza']",Live & Learn
3234,0.622,0.693,-8.619,0.0274,0.288,1.06e-06,0.136,0.843,109.055,0,54,0,7d0X7eztPQTl7pnEjlpUkY,['Hiraeth'],The Swift
3235,0.827,0.595,-13.909,0.0565,0.182,0.0,0.0785,0.921,118.741,0,64,0,6vON1FN7dSZ7Qg7I0LQmo3,"['T & Sugah', 'Ayah Marar']",Be There
3236,0.517,0.853,-5.694,0.0298,0.38,0.00754,0.123,0.627,124.421,0,0,3,0Mw0VAU4JnxGuSqoagPu46,['Telomic'],Falling
3237,0.519,0.641,-11.009,0.0446,0.613,0.66,0.52,0.637,127.8,0,0,5,7wWFdbIubTSO7tSFYHrhYf,['Telomic'],After Hours
3238,0.794,0.89,-9.438,0.0431,0.0177,0.468,0.0838,0.77,125.003,0,61,0,6LII7UodGddMlrj7LSTl3y,"['NCT', 'The Outsiders', 'Ida']",Overcome
3239,0.428,0.632,-5.206,0.0368,2.06e-05,0.342,0.0848,0.344,115.89,0,24,1,1wsjQUv1AeQfIWwmOWAaCl,"['Low5', 'Sektor', 'Subsequent']",Skylines
3240,0.738,0.369,-9.531,0.209,0.31,0.00706,0.366,0.342,132.093,0,2,4,087cCCXpfcn8ChAssj7aMh,['Lexurus'],Crystalize
3241,0.572,0.862,-8.065,0.101,0.0127,0.388,0.674,0.111,124.708,0,50,5,2rVKvFw2u9VbKjzn8Kf9OZ,"['Flite', 'Justin Hawkes']",Joy
3242,0.568,0.788,-4.712,0.0463,0.181,0.0,0.051,0.953,146.155,0,0,3,507UUx311ghfFTMSuHUeyS,"['Sub Focus', 'Dimension']",Desire (with Dimension)
3243,0.424,0.679,-10.027,0.0465,1.04e-05,5.11e-05,0.0794,0.39,141.335,0,0,1,5jTanOaDoi0f30VQmwXanb,['Jon Void'],Beautiful
3244,0.5,0.418,-6.535,0.0377,0.566,0.000193,0.11,0.176,84.899,0,2,8,77VtotY5X2jt4SKVbNBZ0d,"['Dexcell', 'LaMeduza']",Freefall
3245,0.61,0.23,-11.743,0.0437,0.834,0.00238,0.0843,0.516,128.443,0,0,8,5YlCSaUFD4rRyB0eVOHw26,['Bert H'],Aadwark
3246,0.374,0.724,-12.004,0.0366,0.0293,0.000195,0.314,0.649,178.261,0,35,1,0trKnYX92G7mb2k8S1Sxgg,['Muffler'],Heavy Heart
3247,0.544,0.865,-7.053,0.0589,0.00103,0.712,0.0912,0.523,105.518,1,40,7,20kLLKfqu075ZnxxrpK9St,"['Flite', 'Justin Hawkes']",Fairy
3248,0.841,0.898,-7.135,0.104,0.271,0.0151,0.304,0.931,98.401,1,65,7,7LTUOXXs3REXnW0o5zn5Mq,"['Bert H', 'High N Sick']",Outflow
3249,0.785,0.871,-2.692,0.265,0.144,0.0,0.309,0.315,87.248,1,0,7,4IIGFe0nYUSphQE7lMdCfz,['Bert H'],Old Days Were Better
3250,0.52,0.673,-3.719,0.0352,5.23e-05,0.0935,0.174,0.547,122.977,0,0,3,59OZiGqFfWmry6o9pTx8i8,['Fox Stevenson'],Bruises
3251,0.452,0.574,-11.262,0.0348,0.0138,0.0391,0.225,0.615,117.222,0,0,3,6wS2SpK8DRpbebxyTTvTaP,"['Itro', 'Dirkje Cil']",Tender
3252,0.646,0.876,-5.242,0.0362,0.159,0.0,0.333,0.95,144.796,0,0,3,4hMNozq6Szg8f3yBqYPJ4M,['The Outsiders'],With Me
3253,0.334,0.836,-7.832,0.112,0.00234,0.000331,0.121,0.602,137.176,0,0,1,4pqrqiABVAL7Ab6BzpBoDj,"['The Outsiders', 'Pyvot']",On Your Own
3254,0.677,0.619,-7.446,0.0334,0.457,0.000149,0.221,0.74,119.624,0,0,3,5mk5IUHKpdL0MBr6IY69hV,"['MUZZ', 'Koven', 'Feint']",Worth The Lie
3255,0.651,0.823,-5.148,0.0282,0.00193,5.77e-05,0.172,0.817,112.148,0,0,3,2wQgvxS6lTE7vBy9JyKqyH,"['The Outsiders', 'Pyvot']",With Me - Pyvot Remix
3256,0.503,0.803,-9.701,0.0485,0.01,0.0648,0.292,0.941,179.007,0,53,0,4RRU6eTNJvr1AAW884GUVk,"['Feint', 'Veela', 'Smooth']",Vagrant - Smooth Remix
3257,0.476,0.607,-7.46,0.0505,0.329,5.03e-06,0.0347,0.342,133.415,0,0,3,0m5mx0UohiTZ9EZP9jbUhq,"['Station Earth', 'Roos Denayer', 'Blue Marble']",Cold Green Eyes - Blue Marble VIP
3258,0.347,0.874,-4.323,0.0351,0.0438,0.0,0.116,0.571,81.035,0,0,3,5ZP3tvQYzKGcwJmiWOKXvy,"['Phaction', 'Katkin Willow', 'Monrroe']",Someone - Monrroe Remix
3259,0.719,0.812,-9.409,0.0515,0.0182,0.000422,0.311,0.804,98.748,0,0,3,0EleflrfIYRxY0LVhn5gZU,"['Seba', 'Technimatic']",Lose Control - Technimatic Remix
3260,0.497,0.285,-14.537,0.0264,0.643,1.69e-05,0.389,0.667,154.707,0,50,8,2guxWFYI6yLeyoqS8XEhPk,"['T & Sugah', 'Amanda', 'Madface']",Walk Her Way - Madface Remix
3261,0.635,0.913,-6.708,0.065,0.0208,0.0684,0.0677,0.7,111.824,0,1,3,1clLnc90WXEhDam7V12Iqw,"['Actraiser', 'Low:r', 'Aperio']",Flight Path - Aperio & Low:r Remix
3262,0.673,0.663,-7.29,0.0269,0.217,0.017,0.177,0.671,120.634,0,0,3,5BTzkmoEz9FvP2A45AzyQK,['Humanature'],Searching
3263,0.429,0.416,-6.692,0.0271,0.686,0.00204,0.195,0.322,96.306,0,35,8,2trapwNhYySrP4XLNaBGT6,['Boxplot'],Escape With The Clouds - V.I.P
3264,0.796,0.531,-8.75,0.0548,0.049,0.0052,0.0412,0.591,140.369,0,0,3,5D7pD5fOlgvT9U9VmGVzEm,"['Maduk', 'Diamond Eyes']",Colours
3265,0.374,0.695,-10.778,0.0582,0.00503,2.29e-06,0.0556,0.664,137.744,0,0,3,1LBxrVY3iBHUsG2qNdcNI6,['Subformat'],Penguin Calls
3266,0.399,0.533,-6.562,0.0311,0.795,0.0,0.147,0.719,145.091,0,0,8,4E98yElLchvynnfZQ69hfg,"['Flite', 'Makoto']",Be Still - Makoto Remix
3267,0.464,0.766,-7.035,0.0301,0.0887,0.0,0.111,0.705,132.713,0,25,3,78KdEG5vyHp5gC4f17EozM,"['Nexus & Tight', 'Silence Groove']",Odyssey - Silence Groove Remix
3268,0.707,0.641,-7.587,0.0382,0.284,0.0592,0.322,0.567,94.993,0,0,3,7FuOJwoa9XIwuJkLR8UNEN,"['Pola & Bryson', 'Telomic', 'Sammie Bella']",Whisper To Me - Telomic Remix
3269,0.526,0.756,-5.083,0.0266,0.4,2.39e-06,0.426,0.668,91.985,0,58,0,0vqwXiMQbWSWNzE0UVR4gj,"['T & Sugah', 'ZAZU', 'Flite', 'Justin Hawkes']",Lost On My Own - Flite Remix
3270,0.821,0.477,-13.446,0.0349,0.236,0.000522,0.0771,0.561,108.684,0,52,0,02NqmmAvb0dcBTAsHNM7QE,"['Dualistic', 'Subsequent', 'Ella Noël', 'BCee']",Sunrise - Bcee Remix
3271,0.725,0.614,-7.015,0.0409,0.136,0.792,0.062,0.429,95.039,0,54,2,67PViHewN1bqGK5pzMR0T9,"['Rameses B', 'NCT']",Open Your Eyes - NCT Remix
3272,0.698,0.514,-10.325,0.0663,0.148,0.0888,0.101,0.63,75.989,0,0,3,3JepjMrYkQcsEEI8JZWRt8,"['Murdock', 'Jenna G', 'Submatik', 'T & Sugah']",Good Luv - T & Sugah Remix
3273,0.711,0.791,-5.5,0.138,0.104,0.000372,0.101,0.536,105.856,0,35,0,4JNReZP4npX6YoGG1NZKgH,"['Dennis Pedersen', 'Ella Noël', 'Maduk', 'Rino', 'Fox Stevenson']",Miles Apart - Fox Stevenson Remix
3274,0.295,0.74,-13.073,0.0344,0.0604,0.142,0.193,0.506,135.299,0,38,1,3OfTUInqLligSNuiqUQtnE,"['T & Sugah', 'Voicians', 'Lexurus']",Demons - Lexurus Remix
3275,0.659,0.534,-9.913,0.246,0.614,0.0,0.125,0.764,74.345,0,0,4,0jWPm482xs7mfrErKk5z9w,"['Madface', 'MVE', 'Edlan']",Help Me - Edlan Remix
