,0
948,australian talent show
949,none
950,none
951,indie r&b
952,rhythm and blues
953,electronica
954,none
955,swedish indie rock
956,italian techno
957,none
958,focus beats
959,none
960,romanian house
961,acid techno
962,none
963,indie r&b
964,disco house
965,east coast hip hop
966,none
967,hip pop
968,modern rock
969,none
970,none
971,none
972,caucasian folk
973,none
974,laboratorio
975,none
976,new romantic
977,float house
978,acoustic pop
979,rap
980,proto-techno
981,none
982,free improvisation
983,new york drill
984,none
985,traprun
986,jungle
987,none
988,british jazz
989,rhythm and blues
990,indietronica
991,glam metal
992,none
993,none
994,none
995,none
996,italian techno
997,none
998,none
999,none
1000,none
1001,drum and bass
1002,none
1003,none
1004,none
1005,peruvian rock
1006,none
1007,deep disco house
1008,vapor twitch
1009,japanese techno
1010,hip pop
1011,none
1012,french hip hop
1013,none
1014,none
1015,none
1016,lo-fi jazzhop
1017,experimental club
1018,argentine rock
1019,none
1020,none
1021,drum and bass
1022,none
1023,bubblegum pop
1024,electronic trap
1025,hip hop
1026,dancehall
1027,jump up
1028,none
1029,indie r&b
1030,battle rap
1031,none
1032,german romanticism
1033,modern rock
1034,none
1035,none
1036,none
1037,alternative r&b
1038,irish gaelic folk
1039,none
1040,none
1041,none
1042,none
1043,microhouse
1044,none
1045,italian adult pop
1046,puerto rican pop
1047,none
1048,indie soul
1049,none
1050,jazz funk
1051,none
1052,classical
1053,none
1054,none
1055,afropop
1056,none
1057,talent show
1058,liquid funk
1059,edm
1060,none
1061,groove room
1062,cali rap
1063,none
1064,edm
1065,chicago punk
1066,spectra
1067,art rock
1068,southern hip hop
1069,deep liquid
1070,melodic dubstep
1071,none
1072,none
1073,none
1074,chill r&b
1075,none
1076,quiet storm
1077,electra
1078,jazzy dnb
1079,none
1080,none
1081,none
1082,noise rock
1083,funk
1084,none
1085,folk
1086,none
1087,indie pop
1088,swedish prog
1089,none
1090,none
1091,none
1092,britpop
1093,europop
1094,none
1095,none
1096,electronic trap
1097,none
1098,none
1099,none
1100,french synthpop
1101,none
1102,indie jazz
1103,jump blues
1104,none
1105,deep dnb
1106,indie r&b
1107,none
1108,classic bollywood
1109,latin pop
1110,none
1111,none
1112,none
1113,la pop
1114,neurofunk
1115,edm
1116,norwegian pop
1117,europop
1118,drum and bass
1119,electronic trap
1120,dancefloor dnb
1121,dancehall queen
1122,ukrainian electronic
1123,honky-tonk piano
1124,none
1125,breakbeat
1126,none
1127,indie jazz
1128,pop dance
1129,none
1130,underground hip hop
1131,none
1132,brazilian techno
1133,none
1134,techno
1135,pop rap
1136,chamber psych
1137,contemporary vocal jazz
1138,italian techno
1139,none
1140,ninja
1141,new wave pop
1142,none
1143,downtempo
1144,none
1145,none
1146,chillstep
1147,melodic dubstep
1148,drum and bass
1149,none
1150,classical
1151,traprun
1152,psychedelic jazz fusion
1153,rawstyle
1154,none
1155,blues rock
1156,none
1157,rock-and-roll
1158,none
1159,none
1160,progressive trance
1161,afro dancehall
1162,liquid funk
1163,moog
1164,none
1165,indie folk
1166,uk dnb
1167,none
1168,alternative rock
1169,none
1170,deep techno
1171,indie soul
1172,melodic techno
1173,early reggae
1174,none
1175,bassline
1176,none
1177,classical
1178,none
1179,miami hip hop
1180,none
1181,none
1182,none
1183,synth funk
1184,synthpop
1185,none
1186,none
1187,none
1188,none
1189,classic rock
1190,none
1191,dark trap
1192,disco
1193,deep groove house
1194,post-romantic era
1195,post-romantic era
1196,dancefloor dnb
1197,none
1198,ambient guitar
1199,philly indie
1200,none
1201,none
1202,latin rock
1203,none
1204,ukrainian electronic
1205,none
1206,classical performance
1207,none
1208,none
1209,none
1210,danish contemporary classical
1211,none
1212,none
1213,mexican techno
1214,art rock
1215,none
1216,new wave
1217,none
1218,techno
1219,none
1220,pop
1221,none
1222,none
1223,emo punk
1224,electropop
1225,none
1226,bubblegum dance
1227,gaming edm
1228,drum and bass
1229,latin
1230,southern hip hop
1231,experimental
1232,bebop
1233,complextro
1234,english indie rock
1235,none
1236,none
1237,garage rock revival
1238,none
1239,none
1240,folk punk
1241,canadian singer-songwriter
1242,drum and bass
1243,none
1244,australian pop
1245,none
1246,sertanejo universitario
1247,uk hip hop
1248,new wave pop
1249,none
1250,modern rock
1251,reggae
1252,french post-punk
1253,none
1254,canadian contemporary r&b
1255,early modern classical
1256,raw techno
1257,dark techno
1258,none
1259,funky house
1260,hip hop
1261,none
1262,none
1263,tekk
1264,french hip hop
1265,none
1266,chicago soul
1267,none
1268,happy hardcore
1269,none
1270,perth indie
1271,stateside dnb
1272,none
1273,sitar
1274,none
1275,british jazz
1276,dream pop
1277,soca
1278,none
1279,minimal dub
1280,none
1281,drum and bass
1282,indie rock
1283,fourth world
1284,bedroom pop
1285,none
1286,indian classical
1287,none
1288,art pop
1289,dub techno
1290,madrigal
1291,reggaeton
1292,none
1293,deep liquid
1294,french reggae
1295,french pop
1296,german techno
1297,brass band
1298,experimental
