,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
98,0.425,0.953,-3.016,0.0412,0.00206,0.000832,0.342,0.642,174.015,0dql8ih8V3WDP2y2mMcuKm,180554
99,0.563,0.963,-2.718,0.0506,0.000882,0.645,0.0397,0.0955,174.013,3mzvhMf49zmS8zpG5sDXhV,298149
100,0.433,0.869,-4.95,0.0433,3.24e-05,0.825,0.129,0.0881,174.038,79nWfXfQERpGNgbILLvyrP,297872
101,0.672,0.974,-3.436,0.0866,0.000916,0.757,0.0971,0.144,173.988,07bCr1MgU2kIDfxqdsjC0U,314683
102,0.415,0.926,-3.438,0.0416,0.000153,0.439,0.345,0.171,175.029,0dqkOFBYLu9Z7g97pVLisV,262069
103,0.569,0.748,-4.774,0.0592,0.00463,0.0116,0.0516,0.188,173.814,5RUrEdi62hxsimCLm4IFPc,294598
104,0.396,0.938,-2.76,0.0649,0.000138,0.165,0.0943,0.146,175.98,1ZRq76U7oNm3u9KFHbm9wM,221250
105,0.629,0.988,-4.209,0.0538,0.0295,0.892,0.139,0.164,174.005,4ZYiXqUNT8AzLTuiDPuRMA,282069
106,0.366,0.929,-1.175,0.121,0.0321,6.08e-05,0.122,0.183,173.941,25ayUbG54mlR9RRdq7U49o,314483
107,0.45,0.84,-6.253,0.0585,0.000151,0.881,0.113,0.101,173.986,1Y7Ax1UOCVT2n4i1Nh1y8U,270345
108,0.587,0.845,-7.057,0.0642,0.000542,0.909,0.0404,0.517,175.013,1Nsk9W4c978rXiMGgcm6Fe,374985
109,0.599,0.974,-1.851,0.0904,0.00841,0.101,0.0619,0.478,173.955,5yZ0qWaaLroWRwM7f1YZ3W,158621
110,0.691,0.743,-7.048,0.198,0.00285,0.178,0.116,0.328,174.021,7AJXyBlBohbg1gDtmO1aCT,229425
111,0.389,0.765,-5.886,0.105,0.0011,0.0092,0.0815,0.123,173.971,5BO9RCcQFzOcuweoahVaLZ,215172
112,0.349,0.836,-4.224,0.0583,0.00461,8.92e-06,0.328,0.135,175.02,1VdtjRNKvNtlK6nclzll6v,268873
113,0.521,0.837,-6.185,0.0383,0.0013,0.881,0.0824,0.0397,173.992,2BNBqbrSxCnwr4Ew7DYQdJ,273204
114,0.506,0.894,-5.336,0.0631,0.00492,0.776,0.588,0.265,173.971,7wkWtpUgXr95NDgjfTAJfx,337816
115,0.642,0.865,-7.23,0.0611,0.00188,0.285,0.137,0.229,171.972,1QG9fkIPOWuNwDT9HVgCea,342420
116,0.373,0.947,-3.469,0.0475,0.00371,0.0685,0.0976,0.0867,173.965,0bq7Q5J7Un2nj6C0AwBvJS,220690
117,0.589,0.853,-4.697,0.0458,0.0498,0.884,0.109,0.292,173.973,6sedMxY4fl0H0KPHxXNP9H,314683
118,0.528,0.918,-2.539,0.139,0.00292,0.0177,0.0859,0.169,174.951,1zpcKCG0vxNcipxz2yBfll,312686
119,0.57,0.838,-5.319,0.155,0.0266,0.00185,0.109,0.147,173.963,0lQ6JDStn5QQpb70tArXN8,302269
120,0.504,0.916,-4.932,0.0422,0.00116,0.485,0.0209,0.33,174.991,73Xr8QVlJ1gRotc3u9STd1,378821
121,0.603,0.737,-5.181,0.0966,0.00455,0.701,0.0856,0.255,174.012,0L9P3FAHU8UwzGL4ekbR67,317441
