danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,artist,song_title,explicit,popularity
0.376,0.5,-4.893,0.0288,0.446,0.00438,0.124,0.188,144.04,2GCb04vjU2QePbEEHUOAC4,228920,[['Marco Antonio Solís']],¿A Dónde Vamos A Parar?,False,0
0.834,0.65,-4.276,0.0372,0.532,0.0,0.128,0.877,120.008,0T5MzYymxrAHLn5DngipCV,232680,"[['Carlos Baute', 'Marta Sánchez']]",Colgando en tus manos (con Marta Sánchez),False,54
0.63,0.944,-2.572,0.0445,0.0454,2.21e-06,0.254,0.919,149.98,1Gi3zsQI5iYJal8jGDLt0S,235413,"[['Santana', 'Samuel Rosa']]",Saideira (feat. Samuel Rosa) - Spanish Version,False,26
0.763,0.903,-6.766,0.103,0.242,0.0,0.141,0.706,95.005,2Q6WTCwEL3gF3aVrgSb9eA,235640,[['Fonseca']],Arroyito,False,31
0.54,0.54,-6.368,0.029,0.241,0.0,0.351,0.372,74.969,72OVnXDzugvrCU25lMi9au,274400,[['WeiBird']],"如果可以 - 電影""月老""主題曲",False,71
0.541,0.469,-10.014,0.0316,0.14,0.0135,0.123,0.188,122.054,11WNIfgBCIsS9kxJma1b06,229369,[['WiFi歪歪']],就忘了吧 - 抒情版伴奏,False,30
0.544,0.401,-8.347,0.027,0.749,1.51e-05,0.265,0.163,131.846,3QP3cYE3qnplFueLKNVsbM,222683,[['队长']],哪里都是你,False,65
0.524,0.653,-6.011,0.0325,0.488,0.0,0.241,0.41,131.979,0l6w3GsvjJWdZHs3eXTjuL,203221,[['1K']],就忘了吧,False,65
0.358,0.391,-8.979,0.0316,0.856,0.00232,0.0971,0.284,75.168,5Y47GrCrjQY44qFv8Gt0Gm,322267,[['Eric Chou']],你不屬於我 - 《比悲傷更悲傷的故事》影集版片尾曲,False,64
0.561,0.407,-14.596,0.149,0.7,0.0,0.12,0.72,78.509,47YmpMLNfj9rGyvpUnx83M,171210,[['Mason & Julez']],New York View,True,42
0.486,0.438,-9.382,0.0408,0.677,0.0,0.0873,0.399,74.62,4Li6IWgv5sFzsnFWXgzi4a,333629,[['張遠']],嘉賓,False,0
