,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
121,0.601,0.972,-1.767,0.0563,0.0701,0.0,0.165,0.941,133.74,4ebKRYnUm7pSy5xEnHhjs3,93133
122,0.577,0.301,-17.639,0.0418,0.841,0.159,0.164,0.929,140.936,0A6kql2bAq3qK5pw1MUH5H,141333
123,0.639,0.259,-11.552,0.098,0.501,0.891,0.115,0.288,77.981,6fkEXnxYYmw9n9VUkN4Eh3,135497
124,0.487,0.455,-8.851,0.0254,0.538,0.0,0.087,0.521,101.991,2dHYIh5L1eYqk1mRiaC8pF,281360
125,0.551,0.721,-5.128,0.0267,0.0396,0.0,0.119,0.376,112.028,0TMghLRnXMyKQ9Ccy3r1gf,208400
126,0.457,0.21,-20.206,0.0364,0.867,0.00864,0.244,0.783,92.683,6xpAB2D74V6RN6by0C6ieZ,175027
127,0.154,0.145,-19.186,0.0387,0.931,0.929,0.208,0.0396,80.646,5IXf9tX70fon4WLqSigpxn,186133
128,0.5,0.355,-10.379,0.0274,0.531,1.44e-05,0.127,0.211,130.802,5vGxttgHXGt0eALSSXXnof,217306
129,0.509,0.713,-5.173,0.299,0.259,0.0,0.0896,0.574,90.201,3YggHQrb4aJpsBjkbJBTHZ,192157
130,0.81,0.547,-8.701,0.0394,0.722,6.07e-06,0.0462,0.968,101.009,01I4dOVul3Cgnk9jktBvBw,140147
131,0.151,0.00854,-36.987,0.0454,0.969,0.891,0.111,0.0383,136.713,4IjDb1WwFCQcI2BV7niMEm,65000
132,0.479,0.935,-2.402,0.0533,0.00779,0.0,0.0491,0.283,146.235,1gFMq9pPkE7nCj1rfxjtCN,123720
133,0.702,0.575,-10.159,0.169,0.0284,0.0,0.1,0.405,76.48,2oo6IfyF0RztXcy46NKGZG,184226
134,0.237,0.438,-11.942,0.0305,0.171,0.915,0.147,0.0766,159.956,5QuFd58oKfeqPe7c6QSgL9,278562
135,0.378,0.00363,-34.793,0.0655,0.921,0.85,0.0726,0.202,94.777,5FIhjiLcduUFKYFWdxivYW,253032
136,0.634,0.215,-17.161,0.0448,0.745,0.976,0.121,0.141,119.985,3KDaMeKoZFnlota39SjYCM,120000
137,0.555,0.878,-5.058,0.0344,0.0447,0.269,0.972,0.553,89.12,6oBImJ4VvXVZvvqNDqvrjg,231977
138,0.745,0.549,-6.238,0.0568,0.825,0.0,0.0664,0.876,100.367,5m2M2j7YgjImGhLnwJBb3O,191800
